text_a,text_b,score
startup fails if directories do not exist,"When data dir is not present, we fail as FileNotFound causes org.apache.cassandra.config.DatabaseDescriptor#tryGetSpace to fail",1.0
Test failure: org.apache.cassandra.distributed.test.SchemaTest.schemaReset,Test Failure: org.apache.cassandra.distributed.test.SchemaTest,1.0
Test Failure: org.apache.cassandra.distributed.upgrade.ClusterMetadataUpgradeTest.upgradeWithHintsTest-_jdk11,Test Failure: org.apache.cassandra.distributed.upgrade.ClusterMetadataUpgradeTest.simpleUpgradeTest-_jdk11,1.0
create a multiplexer job for Jenkins,Repeatable java test runs on jenkins,1.0
"DOC - Fix multiple headers, formatting on Monitoring page",metrics.html with UI bug,1.0
Flaky org.apache.cassandra.tools TopPartitionsTest testServiceTopPartitionsSingleTable,Unit test org.apache.cassandra.tools.TopPartitionsTest#testServiceTopPartitionsSingleTable is still flaky,1.0
stop and restart fail in Debian 10 buster,Debian init script for 2.2.19 mostly broken on Debian 10 with systemd,1.0
Unable to replace node with stale schema,replace_address does not work in 3.11.10,1.0
DOC - Latency in Client Request Metrics tables incorrectly labelled,"DOC - Fix multiple headers, formatting on Monitoring page",1.0
Fix flaky test org.apache.cassandra.transport.CQLConnectionTest,Test Failure: org.apache.cassandra.transport.CQLConnectionTest.handleCorruptionOfLargeMessageFrame,1.0
org.apache.cassandra.db.commitlog.GroupCommitLogTest tests failing on trunk,Fix testBatchCLShutdownImmediately ,1.0
WEBSITE - Update What's New Page for 4.1 and trunk,"WEBSITE - Cleanup sub-pages of What's New section, fix version numbers",1.0
Create 5.0 Landing Page,WEBSITE - Add 5.0 landing page + homepage/main nav update,1.0
guava vulnerability CVE-2023-2976,Security vulnerabilities in google-guava In Cassandra (CVE-2023-2976),1.0
readWriteDuringBootstrapTest - org.apache.cassandra.distributed.test.ring.BootstrapTest,Test Failure: UNIT org.apache.cassandra.distributed.test.ring.BootstrapTest.bootstrapTest,1.0
python upgrade tests include tests which are not impacted by the version under test,python dtest upgrade tests do not generate 3.0 to trunk tests,1.0
high and critical CVEs io.netty to 4.1.42.Final to fix critical and high vulnerabilities,Remediate Cassandra 3.11.10 JAR dependency vulnerabilities ,1.0
org.apache.cassandra.db.commitlog.GroupCommitLogTest tests failing on trunk,Fix org.apache.cassandra.db.commitlog.BatchCommitLogTest.testOutOfOrderFlushRecovery[3]-cdc,1.0
nodetool bootstrap resume returns success even if there is an error during bootstrap,nodetool bootstrap resume completes successfully even if there is an error during bootstrap,1.0
Test Failure: Fix flaky ConnectionTest,Fix flaky test org.apache.cassandra.transport.CQLConnectionTest,1.0
Add Option to Timebox write timestamps,Create a guardrail to prevent writing of timestamps in the distant future,1.0
Invalid version value: 4.0~alpha4 during startup,Invalid version value: 4.0~alpha4,1.0
Test Failure: DiskBoundaryManagerTest.updateTokensTest-_jdk17,Test Failure: org.apache.cassandra.db.DiskBoundaryManagerTest.alterKeyspaceTest-cdc_jdk17_x86_64 ,1.0
Add an optimized default configuration to tests and make it available for new users,Optimized default configuration,1.0
Read Repair,Added Full Repair Example,1.0
Flaky compaction_test.py::TestCompaction:: test_user_defined_compaction,Test failure: compaction_test.py::TestCompaction::test_compaction_throughput,1.0
"nodetool with Java 8u331 returns ""URISyntaxException: 'Malformed IPv6 address at index 7: rmi://[127.0.0.1]:7199'""",Cassandra latest (3.0.26) image fails to start with health check,1.0
"snakeyaml vulnerabilities: CVE-2021-4235, CVE-2022-1471, CVE-2022-3064",Security vulnerabilities in SnakeYAML In Cassandra (CVE-2022-1471),1.0
Test Failure: dtest-upgrade.upgrade_tests.upgrade_through_versions_test.TestProtoV4Upgrade_AllVersions_RandomPartitioner_EndsAt_Trunk_HEAD.test_parallel_upgrade_with_internode_ssl,Fix dtest-upgrade.upgrade_tests.upgrade_through_versions_test.TestProtoV3Upgrade_AllVersions_RandomPartitioner_EndsAt_3_11_X_HEAD.test_rolling_upgrade_with_internode_ssl,1.0
GSoC Blog Post,GSoC Blog Post,1.0
"Warn about unqualified prepared statement only if it is a select, update, delete, insert",Warnings when using the perl driver to connect to Cassandra,1.0
Repeatable ci-cassandra.a.o ,Timeout occurred. Please note the time in the report does not reflect the time until the timeout.,1.0
Test Failure: org.apache.cassandra.distributed.test.ring.DecommissionTest#testMixedVersionBlockDecom-_jdk17,Test failure: org.apache.cassandra.distributed.test.ring.DecommissionTest.test*Version*,1.0
Nodetool unit test coverage,Nodetool unit testing,1.0
RepairJobTest.testNoTreesRetainedAfterDifference fails consistently on Java 11,Fix test org.apache.cassandra.repair.RepairJobTest,1.0
Utilising BTree Improvements,High CAS failures in MemtablePool.SubPool.tryAllocate,1.0
Mutating sstable component may race with entire-sstable-streaming(ZCS) causing checksum validation failure,Flaky dtest test_dead_sync_initiator - repair_tests.repair_test.TestRepair,1.0
Fix flaky junit.framework.TestSuite.org.apache.cassandra.io.sstable.CQLSSTableWriterTest-cdc,Fix flaky org.apache.cassandra.schema.SchemaTest.testTransKsMigration-cdc,1.0
DOC - Documentation page for Hints has a broken table,Hint documentation page has a misaligned table of settings / description / default values,1.0
in-jvm dtest upgrade tests don't support 4.0 versioning,In-jvm upgrade dtest version parsing does not support 4.0 alpha/beta/rc builds,1.0
Migrate thresholds for compaction to guardrails,Add guardrail for partition size,1.0
do not use http maven repo defined by MAT,Migrate dependency handling from maven-ant-tasks to resolver-ant-tasks,1.0
IPMembershipTest.sameIPFailWithoutReplace fails with timeout, org.apache.cassandra.distributed.test.TopologyChangeTest failing with client timeout,1.0
Upgrade to logback 1.2.3 to address CVE-2017-5929,Upgrade Cassandra Java Driver to 4.6,0.0
provide a configuration option such as endpoint_verification_method,Update Netty 4.0.44 -> 4.1.50 (fix security/performance issues),0.0
DOC - Primary range repair should be run on every datacenter,DOC - nodetool getendpoints man page improvements,0.0
/usr/bin/cassandra looking for wrong libjemalloc.so file,Tiny documentation fix in Architecture/Overview,0.0
Please update Apache Cassandra Repo link in install docs," Typo in website documentation for file ""mvs.rst""",0.0
Separate out allow filtering scanning through a partition versus scanning over the table,copyutil.py uses Exception.message which doesn't exist in Python 3,0.0
MV schema version update race,SASI BounceIntersectionIterator should perform skipTo() using biggest token value,0.0
Delay between Gossip settle and CQL port opening during the startup,Make SASI query safe for concurrent compaction,0.0
Add serial consistency option and regular and serial consistency into profile yaml,cassandra-stress fails when we  specify a port per node,0.0
Improve range reads to query by endpoints instead of vnodes to reduce number of remote requests,stream sstable attached index files entirely with data file,0.0
"DOC - Installation pages, curl command for retrieving keys",DOC - Improve tpstats documentation,0.0
Metrics Documentation Enhancements,Doc update: stream-entire-sstable supports all compaction strategies and internode encryption,0.0
Transports are stopped in the wrong order,JAVA 8: test_multiple_repair - repair_tests.incremental_repair_test.TestIncRepair,0.0
Commented-out lines that end in a semicolon cause an error.,Dropping compact storage with 2.1-sstables on disk make them unreadable,0.0
"DOC - Review Testing section, update builds info to ci-cassandra.apache.org",Add StorageServiceMBean#setDynamicBadnessThreshold to expose dynamic badness threshold,0.0
Enhance fqltool to be able to export the fql log into a format which doesn't depend on Cassandra,CorruptSSTableException when compacting a 3.0 format sstable that was originally created as an outcome of 2.1 sstable upgrade,0.0
When 3.0 reads 2.1 data with a regular column set<text> it expects the cellName to contain a element and fails if not true,Default StringTableSize parameter causes GC slowdown,0.0
NoSpamLogger arguments building objects on hot paths,Operational Improvements & Hardening for Replica Filtering Protection,0.0
Flaky unit test: CorruptedSSTablesCompactionsTest,Bloom filter false positive rate calculation does not take into account true negatives,0.0
cqllib testing not running in CircleCI,Tarball contains duplicate entries,0.0
YamlConfigurationLoader swallows a real exception and exposes a misleading exception message,jvm dtest builder should be provided to the factory and expose state,0.0
bin/sstableverify should support user provided token ranges,Performance regression on internode messaging,0.0
add client request size metrics to netty pipeline,flaky testWithMismatchingPending - org.apache.cassandra.distributed.test.PreviewRepairTest,0.0
Only track ideal CL failure when request CL is met,DOC - Add cqlsh Python 3 support in NEWS.txt and tools section of website,0.0
Security vulnerabilities with dependency jars  of Cassandra 3.11.6,Flaky unit test: SASIIndexTest.testInsertingIncorrectValuesIntoAgeIndex,0.0
Add progress column in percents for system_views.sstable_tasks,"CorruptSSTableException after a 2.1 SSTable is upgraded to 3.0, failing reads",0.0
Improve DROP COMPACT STORAGE,cassandra 3.11.4 deadlock,0.0
When CDC is disabled bootstrapping breaks,Invalid cdc_raw_directory prevents server startup,0.0
"WARN  [CompactionExecutor:5570] 2020-06-09 02:27:01,011 LeveledCompactionStrategy.java:144 - Could not acquire references for compacting SSTables",Bootstrap completes Successfully without streaming all the data,0.0
Update Bundled Python Driver to the latest release,order by descending on frozen list not working,0.0
SEPExecutorTest changingMaxWorkersMeetsConcurrencyGoalsTest failure,Batch statement preparation fails if multiple tables and parameters are used,0.0
ASF CI builds for JDK11,Javadoc fails on java 11: unexported package,0.0
stop and restart fail in Debian 10 buster,Cassandra driver first  connection get the user's own schema information,0.0
JAVA 8/11: test_resumable_rebuild - rebuild_test.TestRebuild,ERROR when a disconnected Cassandra node comes back and receives a drop/add column request,0.0
Cannot read data from a 3-node cluster which has two nodes down,Cassandra get range slice got Inaccurate estimates for concurrencyFactor ,0.0
Support for networking via identity instead of IP,Optimize logging with lazy log parameter evaluation,0.0
Internode messaging connection setup between 4.0 and legacy SSL 3.0 fails if initial connection version incorrect,Upgrade-dtests on trunk not working in CircleCI,0.0
Make Table/Keyspace Metric Names Consistent With Each Other,Jenkins Test Results Report in plaintext for ASF ML,0.0
Debian package fails to download on Arm-based hosts,Remove jackson-mapper-asl-1.9.13 to address CVE,0.0
Flaky test: testNoTreesRetainedAfterDifference - org.apache.cassandra.repair.RepairJobTest,Truncation should fail any ongoing repairs,0.0
replication_test.TestSnitchConfigurationUpdate.test_rf_expand_gossiping_property_file_snitch_multi_dc failure,Include DROPPED_COLUMNS in schema digest computation.,0.0
Bootstrap resume and TestReplaceAddress fixes,Dropping a column can break queries until the schema is fully propagated,0.0
"Use ""allow list"" or ""safe list"" instead of the term ""whitelist"" ",MemoryOutputStream overflow on large bloom filter,0.0
Memory leak in CompressedChunkReader,NullPointerException in SELECT JSON statement when a UUID field contains an empty string,0.0
Introduce MIDRES config in CircleCI,Update Jackson version to 2.9.10.1 because there are security issues in 2.9.5,0.0
Queries on KEYS 2i are broken by DROP COMPACT STORAGE on 3.0,Unresolvable false digest mismatch during upgrade due to CASSANDRA-10657,0.0
Add tests to cover CacheMetrics,Frozen RawTuple is not annotated with frozen in the toString method,0.0
Generating nodetool docs fails with python 3,Add a startup check to detect if LZ4 uses java rather than native implementation,0.0
cqlsh not able to fetch all rows when in batch mode,Range read concurrency factor didn't consider range merger,0.0
DOC - Improve C* configuration docs,Mutating sstable component may race with entire-sstable-streaming(ZCS) causing checksum validation failure,0.0
"Configuration to disallow queries with ""allow filtering""",Update Netty version to 4.1.50 because there are security issues in 4.1.37,0.0
Provide ability to configure IAuditLogger,Fix flaky org.apache.cassandra.schema.SchemaTest.testTransKsMigration-cdc,0.0
pushed_notifications_test.TestPushedNotifications.test_restart_node_localhost failure,JAVA 11: test_short_read - consistency_test.TestConsistency,0.0
Add test to cover metrics related to the BufferPool,Close channel and reduce buffer allocation during entire sstable streaming with SSL,0.0
Handle errors in StreamSession#prepare,test_speculative_data_request - read_repair_test.TestSpeculativeReadRepair,0.0
Flaky dtest hintedhandoff_test.py::TestHintedHandoffConfig::test_hintedhandoff_setmaxwindow,@since missing/wrong for upgrade_internal_auth_test.TestAuthUpgrade.test_upgrade_to_22/33,0.0
Mark test_populate_mv_after_insert_wide_rows as flaky,TestRepairDataSystemTable test_repair_parent_table and test_repair_table fail,0.0
NPE in ConnectionBurnTest, Support in cassandra-in-jvm-dtest-api for replacing logback with alternate logger,0.0
Fix flaky test incrementalSSTableSelection - org.apache.cassandra.db.streaming.CassandraStreamManagerTest,python dtest regression caused by CASSANDRA-15637,0.0
Missing commas between endpoints in nodetool describering,Fix NPE in SimpleReadWriteTest after test framework behavior change,0.0
nodetool enablefullquerylog doesn't allow caller to make non-blocking,Fix cqlsh output test,0.0
